model: meta-llama/Llama-2-7b-hf
fewshot: 1
=================0.6=================
Local
|                 Tasks                 |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu                                   |N/A    |none  |     0|acc   |0.2418|±  |0.0405|
| - humanities                          |N/A    |none  |     0|acc   |0.2540|±  |0.0336|
|  - formal_logic                       |Yaml   |none  |     0|acc   |0.2381|±  |0.0381|
|  - high_school_european_history       |Yaml   |none  |     0|acc   |0.3030|±  |0.0359|
|  - high_school_us_history             |Yaml   |none  |     0|acc   |0.2255|±  |0.0293|
|  - high_school_world_history          |Yaml   |none  |     0|acc   |0.3122|±  |0.0302|
|  - international_law                  |Yaml   |none  |     0|acc   |0.3554|±  |0.0437|
|  - jurisprudence                      |Yaml   |none  |     0|acc   |0.2315|±  |0.0408|
|  - logical_fallacies                  |Yaml   |none  |     0|acc   |0.2883|±  |0.0356|
|  - moral_disputes                     |Yaml   |none  |     0|acc   |0.2543|±  |0.0234|
|  - moral_scenarios                    |Yaml   |none  |     0|acc   |0.2212|±  |0.0139|
|  - philosophy                         |Yaml   |none  |     0|acc   |0.2830|±  |0.0256|
|  - prehistory                         |Yaml   |none  |     0|acc   |0.2747|±  |0.0248|
|  - professional_law                   |Yaml   |none  |     0|acc   |0.2405|±  |0.0109|
|  - world_religions                    |Yaml   |none  |     0|acc   |0.2807|±  |0.0345|
| - other                               |N/A    |none  |     0|acc   |0.2443|±  |0.0418|
|  - business_ethics                    |Yaml   |none  |     0|acc   |0.2300|±  |0.0423|
|  - clinical_knowledge                 |Yaml   |none  |     0|acc   |0.2226|±  |0.0256|
|  - college_medicine                   |Yaml   |none  |     0|acc   |0.2254|±  |0.0319|
|  - global_facts                       |Yaml   |none  |     0|acc   |0.2700|±  |0.0446|
|  - human_aging                        |Yaml   |none  |     0|acc   |0.3363|±  |0.0317|
|  - management                         |Yaml   |none  |     0|acc   |0.1845|±  |0.0384|
|  - marketing                          |Yaml   |none  |     0|acc   |0.2650|±  |0.0289|
|  - medical_genetics                   |Yaml   |none  |     0|acc   |0.2500|±  |0.0435|
|  - miscellaneous                      |Yaml   |none  |     0|acc   |0.2554|±  |0.0156|
|  - nutrition                          |Yaml   |none  |     0|acc   |0.2092|±  |0.0233|
|  - professional_accounting            |Yaml   |none  |     0|acc   |0.2518|±  |0.0259|
|  - professional_medicine              |Yaml   |none  |     0|acc   |0.1949|±  |0.0241|
|  - virology                           |Yaml   |none  |     0|acc   |0.2530|±  |0.0338|
| - social_sciences                     |N/A    |none  |     0|acc   |0.2229|±  |0.0370|
|  - econometrics                       |Yaml   |none  |     0|acc   |0.2368|±  |0.0400|
|  - high_school_geography              |Yaml   |none  |     0|acc   |0.2323|±  |0.0301|
|  - high_school_government_and_politics|Yaml   |none  |     0|acc   |0.2383|±  |0.0307|
|  - high_school_macroeconomics         |Yaml   |none  |     0|acc   |0.1821|±  |0.0196|
|  - high_school_microeconomics         |Yaml   |none  |     0|acc   |0.2101|±  |0.0265|
|  - high_school_psychology             |Yaml   |none  |     0|acc   |0.1853|±  |0.0167|
|  - human_sexuality                    |Yaml   |none  |     0|acc   |0.2214|±  |0.0364|
|  - professional_psychology            |Yaml   |none  |     0|acc   |0.2647|±  |0.0178|
|  - public_relations                   |Yaml   |none  |     0|acc   |0.2727|±  |0.0427|
|  - security_studies                   |Yaml   |none  |     0|acc   |0.2245|±  |0.0267|
|  - sociology                          |Yaml   |none  |     0|acc   |0.2537|±  |0.0308|
|  - us_foreign_policy                  |Yaml   |none  |     0|acc   |0.1800|±  |0.0386|
| - stem                                |N/A    |none  |     0|acc   |0.2395|±  |0.0479|
|  - abstract_algebra                   |Yaml   |none  |     0|acc   |0.2500|±  |0.0435|
|  - anatomy                            |Yaml   |none  |     0|acc   |0.2815|±  |0.0389|
|  - astronomy                          |Yaml   |none  |     0|acc   |0.2566|±  |0.0355|
|  - college_biology                    |Yaml   |none  |     0|acc   |0.2986|±  |0.0383|
|  - college_chemistry                  |Yaml   |none  |     0|acc   |0.2400|±  |0.0429|
|  - college_computer_science           |Yaml   |none  |     0|acc   |0.2300|±  |0.0423|
|  - college_mathematics                |Yaml   |none  |     0|acc   |0.1900|±  |0.0394|
|  - college_physics                    |Yaml   |none  |     0|acc   |0.2647|±  |0.0439|
|  - computer_security                  |Yaml   |none  |     0|acc   |0.2400|±  |0.0429|
|  - conceptual_physics                 |Yaml   |none  |     0|acc   |0.3149|±  |0.0304|
|  - electrical_engineering             |Yaml   |none  |     0|acc   |0.2483|±  |0.0360|
|  - elementary_mathematics             |Yaml   |none  |     0|acc   |0.2460|±  |0.0222|
|  - high_school_biology                |Yaml   |none  |     0|acc   |0.2323|±  |0.0240|
|  - high_school_chemistry              |Yaml   |none  |     0|acc   |0.1872|±  |0.0274|
|  - high_school_computer_science       |Yaml   |none  |     0|acc   |0.2600|±  |0.0441|
|  - high_school_mathematics            |Yaml   |none  |     0|acc   |0.2148|±  |0.0250|
|  - high_school_physics                |Yaml   |none  |     0|acc   |0.2318|±  |0.0345|
|  - high_school_statistics             |Yaml   |none  |     0|acc   |0.1528|±  |0.0245|
|  - machine_learning                   |Yaml   |none  |     0|acc   |0.2500|±  |0.0411|

|      Groups      |Version|Filter|n-shot|Metric|Value |   |Stderr|
|------------------|-------|------|-----:|------|-----:|---|-----:|
|mmlu              |N/A    |none  |     0|acc   |0.2418|±  |0.0405|
| - humanities     |N/A    |none  |     0|acc   |0.2540|±  |0.0336|
| - other          |N/A    |none  |     0|acc   |0.2443|±  |0.0418|
